x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-8.31660E-06,+303.05606506E-03,-9.35948446E-03,+310.19552245E-03,-83.47346016E-03
-8.30660E-06,+303.05493441E-03,-9.56513772E-03,+310.19552245E-03,-83.52371142E-03
-8.29660E-06,+303.05606506E-03,-9.95760003E-03,+310.19552245E-03,-83.40499283E-03
-8.28660E-06,+303.05606506E-03,-10.25194676E-03,+310.19552245E-03,-83.52433956E-03
-8.27660E-06,+303.05449471E-03,-10.24277591E-03,+310.19552245E-03,-83.44330941E-03
-8.26660E-06,+303.05449471E-03,-10.66124324E-03,+310.19552245E-03,-83.52905061E-03
-8.25660E-06,+303.05449471E-03,-10.98423319E-03,+310.19552245E-03,-83.42101041E-03
-8.24660E-06,+303.05449471E-03,-11.27933369E-03,+310.19552245E-03,-83.52025664E-03
-8.23660E-06,+303.05449471E-03,-11.65295177E-03,+310.19552245E-03,-83.41441494E-03
-8.22660E-06,+303.05449471E-03,-11.73461006E-03,+310.19552245E-03,-83.51334710E-03
-8.21660E-06,+303.05449471E-03,-12.57104222E-03,+310.19552245E-03,-83.44582197E-03
-8.20660E-06,+303.05606506E-03,-12.94277588E-03,+310.19552245E-03,-83.49073403E-03
-8.19660E-06,+303.05606506E-03,-13.04038894E-03,+310.19552245E-03,-83.38803303E-03
-8.18660E-06,+303.05606506E-03,-13.50370552E-03,+310.19552245E-03,-83.52748026E-03
-8.17660E-06,+303.05606506E-03,-13.62732361E-03,+310.19552245E-03,-83.46403805E-03
-8.16660E-06,+303.05606506E-03,-13.74340401E-03,+310.19552245E-03,-83.53156318E-03
-8.15660E-06,+303.05606506E-03,-14.35697184E-03,+310.19552245E-03,-83.43325916E-03
-8.14660E-06,+303.05606506E-03,-14.83473566E-03,+310.19552245E-03,-83.53250539E-03
